title,genre,year,rating,director,cast,description,duration,
A Quiet Place,"Horror, Thriller",2018,PG-13,John Krasinski,"Emily Blunt, John Krasinski","A family lives in silence while hiding from monsters with ultra-sensitive hearing",90
The Handmaid's Tale,"Drama, Sci-Fi, Dystopian",2017,TV-MA,Bruce Miller,"Elisabeth Moss, Yvonne Strahovski","A woman forced into sexual servitude struggles to survive in a totalitarian society",60
Brooklyn Nine-Nine,"Comedy, Crime",2013,TV-14,Dan Goor,"Andy Samberg, Stephanie Beatriz","Comedy series following the exploits of a talented detective in a New York precinct",22
It Follows,"Horror, Supernatural",2014,R,David Robert Mitchell,"Maika Monroe, Keir Gilchrist","A young woman is followed by a supernatural entity after a sexual encounter",100
Castle Rock,"Horror, Mystery, Thriller",2018,TV-MA,Sam Shaw,"André Holland, Melanie Lynskey","A psychological horror series set in the Stephen King multiverse",60
The Good Place,"Comedy, Fantasy, Philosophy",2016,TV-14,Michael Schur,"Kristen Bell, Ted Danson","A woman tries to become a better person in the afterlife",22
Hereditary,"Horror, Drama, Supernatural",2018,R,Ari Aster,"Toni Collette, Alex Wolff","A family tragedy reveals disturbing secrets about their ancestry",127
Palm Springs,"Comedy, Romance, Sci-Fi",2020,R,Max Barbakow,"Andy Samberg, Cristin Milioti","Two strangers find themselves stuck in a time loop at a wedding in Palm Springs",90
Nomadland,"Drama, Adventure",2020,R,Chloé Zhao,"Frances McDormand, David Strathairn","A woman embarks on a journey of self-discovery after losing everything in the Great Recession",107
Run,"Thriller, Drama",2020,PG-13,Aneesh Chaganty,"Sarah Paulson, Kiera Allen","A homeschooled teenager begins to suspect her mother is keeping a dark secret",90